timestamp,power_kw
2024-01-01 00:00:00,15.5
2024-01-01 01:00:00,14.2
2024-01-01 02:00:00,13.8
2024-01-01 03:00:00,13.5
2024-01-01 04:00:00,13.2
2024-01-01 05:00:00,14.5
2024-01-01 06:00:00,18.2
2024-01-01 07:00:00,25.8
2024-01-01 08:00:00,35.2
2024-01-01 09:00:00,42.5
2024-01-01 10:00:00,48.3
2024-01-01 11:00:00,52.1
2024-01-01 12:00:00,50.8
2024-01-01 13:00:00,49.2
2024-01-01 14:00:00,51.5
2024-01-01 15:00:00,48.7
2024-01-01 16:00:00,45.2
2024-01-01 17:00:00,38.5
2024-01-01 18:00:00,32.1
2024-01-01 19:00:00,28.5
2024-01-01 20:00:00,25.2
2024-01-01 21:00:00,22.8
2024-01-01 22:00:00,19.5
2024-01-01 23:00:00,17.2
